Mr. John (Senior) Beirne,(01/04/1893 - ),Shopkeeper and Farmer,Clann na Talmhúain members of the 12th Dáil,Roscommon
Mr. Joseph Blowick,(13/03/1903 - 12/08/1970),Farmer,Clann na Talmhúain members of the 12th Dáil,Mayo South
Mr. Dominick Cafferky,( - 15/03/1971),Farmer,Clann na Talmhúain members of the 12th Dáil,Mayo South
Mr. Patrick Cogan,( - 05/01/1977),Farmer,Clann na Talmhúain members of the 12th Dáil,Wicklow
Mr. Bernard Commons,(15/05/1913 - 19/04/1965),Farmer,Clann na Talmhúain members of the 12th Dáil,Mayo South
Mr. Michael Donnellan,(01/01/1900 - 27/09/1964),Farmer,Clann na Talmhúain members of the 12th Dáil,Galway East
Mr. Patrick Finucane,(05/12/1890 - 10/04/1984),Farmer,Clann na Talmhúain members of the 12th Dáil,Kerry North
Mr. Patrick Joseph Halliden,,Farmer and National Teacher,Clann na Talmhúain members of the 12th Dáil,Cork North
Mr. Denis Heskin,(17/02/1899 - 30/04/1975),Farmer,Clann na Talmhúain members of the 12th Dáil,Waterford
Mr. William Francis O'Donnell,( - 04/02/1947),Farmer,Clann na Talmhúain members of the 12th Dáil,Tipperary
Mr. Patrick Florence O'Driscoll,(14/01/1878 - 08/08/1949),Farmer,Clann na Talmhúain members of the 12th Dáil,Cork West
Mr. Patrick (Virginia) O'Reilly,(01/04/1927 - 19/02/1994),Farmer,Clann na Talmhúain members of the 12th Dáil,Cavan
