Mr. Patrick F. Baxter,(01/10/1891 - 03/04/1959),Farmer,Farmers Party members of the 4th Dáil,Cavan
Mr. John Conlan,,Farmer,Farmers Party members of the 4th Dáil,Kildare
Mr. John Dinneen,( - 01/01/1942),Farmer,Farmers Party members of the 4th Dáil,Cork East and North-East
Mr. Michael Doyle,,Farmer,Farmers Party members of the 4th Dáil,Wexford
Mr. Denis J. Gorey,(25/05/1874 - 20/02/1940),Farmer,Farmers Party members of the 4th Dáil,Carlow-Kilkenny
Mr. Michael Richard Heffernan,(03/04/1885 - 21/11/1970),Secretary Farmers' Union,Farmers Party members of the 4th Dáil,Tipperary
Mr. Conor Hogan,(01/04/1892 - 29/01/1951),Farmer,Farmers Party members of the 4th Dáil,Clare
Mr. Patrick K. Hogan,,Farmer,Farmers Party members of the 4th Dáil,Limerick
Mr. Patrick McKenna,,Farmers Party (Farmers Party members of the 4th Dáil),Farmers Party members of the 4th Dáil,Longford -Westmeath
Mr. Patrick James Mulvany,(02/07/1871 - 16/05/1951),Farmers Party (Farmers Party members of the 4th Dáil),Farmers Party members of the 4th Dáil,Meath
Mr. Timothy Joseph O'Donovan,(04/04/1881 - 01/01/1951),Farmer,Farmers Party members of the 4th Dáil,Cork West
Mr. Daniel Vaughan,(27/07/1897 - 23/09/1975),Farmer,Farmers Party members of the 4th Dáil,Cork Mid North South South-East West
Mr. Nicholas Wall,(06/08/1884 - 03/12/1939),Farmer,Farmers Party members of the 4th Dáil,Waterford
Mr. John White,,Farmer and Produce Merchant,Farmers Party members of the 4th Dáil,Donegal
Mr. Richard Wilson,( - 20/02/1957),Farmers Party (Farmers Party members of the 4th Dáil),Farmers Party members of the 4th Dáil,Kildare-Wicklow
