Mr. Laurence Brady,(20/01/1892 - 14/04/1973),Sinn Féin (Sinn Féin members of the 4th Dáil),Sinn Féin members of the 4th Dáil,Leix-Offaly
Mr. Daniel Corkery,(14/02/1878 - 31/12/1964),Sinn Féin (Sinn Féin members of the 4th Dáil),Sinn Féin members of the 4th Dáil,Cork Mid North South South-East West
Mr. Michael Kilroy,,Coach Builder,Sinn Féin members of the 4th Dáil,Mayo South
Kathleen Florence Lynn,(28/01/1874 - 14/09/1955),Medical Practitioner,Sinn Féin members of the 4th Dáil,Dublin County
Mr. Martin Bernard McGowan,( - 01/01/1958),National Teacher,Sinn Féin members of the 4th Dáil,Leitrim-Sligo
Mr. Louis Edward O'Dea,,Solicitor,Sinn Féin members of the 4th Dáil,Galway
Mr. Peadar O'Donnell,(01/01/1893 - 01/01/1986),National School Teacher and Trade Union Organiser,Sinn Féin members of the 4th Dáil,Donegal
Mr. Ernie O'Malley,(26/05/1897 - 25/03/1957),Writer,Sinn Féin members of the 4th Dáil,Dublin North
Mr. Patrick Ryan,(16/11/1898 - 21/01/1944),Sinn Féin (Sinn Féin members of the 4th Dáil),Sinn Féin members of the 4th Dáil,Tipperary
Mr. Michael Shelly,,Draper,Sinn Féin members of the 4th Dáil,Carlow-Kilkenny
Mr. Austin Stack,(07/12/1879 - 01/04/1929),Sinn Féin (Sinn Féin members of the 4th Dáil),Sinn Féin members of the 4th Dáil,Kerry West
